#    The selling price of houses is to be represented as a function of,,,,,,,,,
#    other variables.,,,,,,,,,
#,,,,,,,,,
"#      A1,  the local selling prices, in hundreds of dollars;",,,,,,,,,
"#      A2,  the number of bathrooms;",,,,,,,,,
"#      A3,  the area of the site in thousands of square feet;",,,,,,,,,
"#      A4,  the size of the living space in thousands of square feet;",,,,,,,,,
"#      A5,  the number of garages;",,,,,,,,,
"#      A6,  the number of rooms;",,,,,,,,,
"#      A7,  the number of bedrooms;",,,,,,,,,
"#      A8,  the age in years;",,,,,,,,,
"#      A9, number of fire places.",,,,,,,,,
"#      B,   the selling price.",,,,,,,,,
#,,,,,,,,,
#    We seek a model of the form:,,,,,,,,,
#,,,,,,,,,
#    B = A1 * X1 + A2 * X2 + A3 * X3 + A4 * X4 + A5 * X5 + A6 * X6 + A7 * X7,,,,,,,,,
#      + A8 * X8 + A9 * X9 + A10 * X10 + A11 * X11,,,,,,,,,
#,,,,,,,,,
"A1, the local selling prices, in hundreds of dollars;","A2, the number of bathrooms;","A3, the area of the site in thousands of square feet;","A4, the size of the living space in thousands of square feet;","A5, the number of garages;","A6, the number of rooms;","A7, the number of bedrooms;","A8, the age in years;","A9, number of fire places.",B
6.6969,1.5,6.902,1.488,1.5,7,3,22,1,41.9
5.9894,1,5.52,1.256,2,6,3,40,1,37.5
5.0597,1,4.455,1.121,1,6,3,42,0,29.9
9.0384,1,7.8,1.5,1.5,7,3,23,0,43.9
4.5573,1,4.05,1.232,1,6,3,54,0,25.9
8.14,1,8,1.504,2,7,3,3,0,36.9
7.5422,1.5,4,1.69,1,6,3,22,0,37.9
5.9592,1,6.666,1.121,2,6,3,32,0,30.9
5.8282,1,6.435,1.225,2,6,3,32,0,35.9
4.5429,1,2.275,1.175,1,6,3,40,0,27.9
5.6039,1,9.52,1.501,0,6,3,32,0,28.9
5.05,1,5,1.02,0,5,2,46,1,30
6.0931,1.5,6.7265,1.652,1,6,3,44,0,37.9
9.1416,1.5,7.3262,1.831,1.5,8,4,31,0,45.8
5.0208,1,3.531,1.5,2,7,4,62,0,29.5
5.6039,1,9.52,1.501,0,6,3,32,0,28.9
8.7951,1.5,9.89,1.82,2,8,4,50,1,44.5
8.3607,1.5,9.15,1.777,2,8,4,48,1,38.9
14.4598,2.5,12.8,3,2,9,5,14,1,82.9
12,1.5,5,1.2,2,6,3,30,1,41
4.9176,1,3.472,0.998,1,7,4,42,0,25.9
5.898,1,5.85,1.24,1,7,3,51,1,30.9
16.4202,2.5,9.8,3.42,2,10,5,42,1,84.9
3.891,1,4.455,0.988,1,6,3,56,0,29.9
5.3003,1,4.9883,1.552,1,6,3,30,0,31.5
6.2712,1,5.52,0.975,1,5,2,30,0,31
8.2464,1.5,5.15,1.664,2,8,4,50,0,36.9
7.7841,1.5,7.102,1.376,1,6,3,17,0,40.5
